date,platform,account,campaign,country,device,spend,clicks,impressions,conversions
2025-01-03,Meta,AcctC,Prospecting,US,Mobile,1411.28,496,18848,20
2025-01-03,Meta,AcctB,Prospecting,US,Desktop,795.77,636,22896,16
2025-01-03,Meta,AcctA,Generic_Search,MX,Desktop,1459.32,860,55040,21
2025-01-04,Meta,AcctC,Prospecting,CA,Mobile,774.81,315,18900,26
2025-01-04,Google,AcctC,Prospecting,MX,Mobile,624.04,404,26260,12
2025-01-04,Meta,AcctA,Generic_Search,MX,Mobile,290.97,183,9333,12
2025-01-04,Meta,AcctB,Prospecting,CA,Desktop,700.75,412,18952,9
2025-01-04,Google,AcctB,Prospecting,MX,Desktop,1456.96,640,45440,38
2025-01-04,Google,AcctA,Generic_Search,BR,Mobile,232.22,155,7905,12
2025-01-04,Meta,AcctA,Brand_Search,MX,Desktop,954.77,755,24160,21
2025-01-04,Google,AcctC,Brand_Search,MX,Desktop,758.72,243,12879,22
2025-01-04,Google,AcctB,Generic_Search,BR,Desktop,659.78,382,21392,37
2025-01-04,Meta,AcctC,Retargeting,BR,Mobile,727.9,521,25529,22
2025-01-04,Google,AcctA,Retargeting,MX,Mobile,1266.7,931,40964,20
2025-01-04,Meta,AcctC,Generic_Search,MX,Desktop,1223.59,433,13856,38
2025-01-05,Google,AcctC,Brand_Search,MX,Mobile,321.4,249,11205,18
2025-01-05,Meta,AcctC,Prospecting,CA,Mobile,1279.74,734,29360,58
2025-01-05,Google,AcctB,Generic_Search,BR,Desktop,739.33,344,20296,18
2025-01-05,Meta,AcctC,Generic_Search,CA,Desktop,554.82,301,16254,14
2025-01-05,Google,AcctB,Retargeting,US,Mobile,820.07,632,30968,50
2025-01-05,Meta,AcctC,Generic_Search,CA,Desktop,1474.94,836,45980,56
2025-01-05,Meta,AcctB,Prospecting,BR,Mobile,1195.56,670,46900,26
2025-01-05,Google,AcctA,Retargeting,BR,Mobile,436.25,187,9350,6
2025-01-05,Google,AcctA,Generic_Search,US,Desktop,518.3,278,21962,7
2025-01-05,Meta,AcctC,Generic_Search,CA,Mobile,719.55,268,19832,5
2025-01-05,Google,AcctB,Generic_Search,BR,Mobile,265.28,112,4144,6
2025-01-05,Meta,AcctA,Prospecting,BR,Mobile,636.6,475,16625,14
2025-01-06,Google,AcctB,Generic_Search,US,Desktop,1180.5,914,38388,79
2025-01-06,Meta,AcctC,Retargeting,CA,Desktop,320.97,131,9694,5
2025-01-06,Google,AcctC,Prospecting,CA,Mobile,766.25,509,23923,23
2025-01-06,Google,AcctC,Brand_Search,MX,Mobile,1059.98,354,25134,16
2025-01-06,Google,AcctA,Generic_Search,CA,Desktop,933.16,381,28194,15
2025-01-06,Meta,AcctA,Brand_Search,BR,Mobile,340.53,106,5194,7
2025-01-06,Meta,AcctC,Brand_Search,BR,Desktop,513.76,258,16770,20
2025-01-06,Google,AcctB,Prospecting,BR,Mobile,475.76,332,16932,14
2025-01-06,Meta,AcctB,Retargeting,MX,Mobile,527.95,180,5580,14
2025-01-06,Google,AcctA,Prospecting,CA,Desktop,1175.62,687,49464,34
2025-01-06,Meta,AcctB,Brand_Search,CA,Mobile,1026.26,733,54975,23
2025-01-07,Meta,AcctB,Prospecting,CA,Mobile,657.35,346,16954,13
2025-01-07,Google,AcctC,Retargeting,CA,Mobile,586.56,348,19836,15
2025-01-07,Google,AcctB,Retargeting,US,Desktop,720.92,242,16940,18
2025-01-07,Google,AcctB,Brand_Search,BR,Desktop,1380.93,985,33490,24
2025-01-07,Google,AcctC,Brand_Search,BR,Desktop,544.04,185,8325,6
2025-01-07,Google,AcctB,Brand_Search,BR,Mobile,259.17,84,4032,6
2025-01-07,Google,AcctC,Retargeting,MX,Mobile,1474.66,1056,50688,40
2025-01-07,Google,AcctC,Retargeting,US,Desktop,946.28,505,29290,23
2025-01-07,Meta,AcctC,Retargeting,US,Desktop,1401.08,972,68040,65
2025-01-07,Google,AcctA,Brand_Search,CA,Mobile,1096.18,586,18752,22
2025-01-07,Google,AcctC,Generic_Search,MX,Desktop,1165.75,903,66822,31
2025-01-07,Google,AcctA,Prospecting,US,Desktop,353.99,241,16388,16
2025-01-08,Google,AcctB,Retargeting,CA,Mobile,1061.36,530,41340,33
2025-01-08,Meta,AcctA,Generic_Search,MX,Desktop,1405.97,729,53946,42
2025-01-08,Meta,AcctC,Retargeting,US,Mobile,652.35,304,21888,8
2025-01-08,Google,AcctB,Brand_Search,BR,Mobile,1412.45,629,47175,26
2025-01-08,Meta,AcctB,Generic_Search,CA,Desktop,698.66,531,32922,42
2025-01-08,Meta,AcctA,Prospecting,MX,Mobile,350.7,240,14880,20
2025-01-08,Google,AcctC,Retargeting,CA,Desktop,443.86,213,16614,12
2025-01-08,Meta,AcctC,Prospecting,CA,Desktop,809.31,365,20075,34
2025-01-08,Meta,AcctB,Brand_Search,US,Mobile,1154.89,695,21545,18
2025-01-08,Google,AcctC,Generic_Search,BR,Mobile,916.09,527,18445,20
2025-01-08,Google,AcctC,Prospecting,US,Desktop,811.65,507,23829,17
2025-01-09,Google,AcctB,Generic_Search,MX,Desktop,259.79,181,8688,8
2025-01-09,Meta,AcctC,Retargeting,BR,Mobile,900.15,425,27625,34
2025-01-09,Meta,AcctC,Prospecting,CA,Mobile,458.98,225,13500,6
2025-01-09,Meta,AcctB,Generic_Search,US,Mobile,1428.81,1134,55566,80
2025-01-09,Meta,AcctA,Generic_Search,CA,Desktop,420.98,142,7668,9
2025-01-09,Meta,AcctC,Retargeting,CA,Mobile,1484.94,1033,73343,101
2025-01-09,Google,AcctC,Brand_Search,BR,Mobile,1496.65,1007,57399,98
2025-01-09,Meta,AcctA,Generic_Search,MX,Desktop,1336.45,695,43785,64
2025-01-09,Meta,AcctC,Brand_Search,MX,Mobile,1440.38,883,68874,52
2025-01-09,Meta,AcctB,Prospecting,BR,Desktop,943.34,393,31047,20
2025-01-09,Google,AcctB,Generic_Search,BR,Mobile,1029.28,545,39240,11
2025-01-09,Google,AcctC,Generic_Search,CA,Desktop,297.28,205,9430,9
2025-01-10,Google,AcctA,Prospecting,CA,Desktop,326.35,242,9196,12
2025-01-10,Meta,AcctC,Prospecting,MX,Mobile,228.52,163,8965,6
2025-01-10,Meta,AcctA,Retargeting,US,Desktop,1180.4,487,35551,37
2025-01-10,Meta,AcctC,Retargeting,BR,Mobile,1051.4,753,51957,39
2025-01-10,Google,AcctC,Retargeting,MX,Desktop,989.18,471,32970,16
2025-01-10,Meta,AcctC,Generic_Search,US,Desktop,601.61,313,20971,15
2025-01-10,Meta,AcctA,Prospecting,BR,Mobile,778.1,325,17225,9
2025-01-10,Meta,AcctC,Generic_Search,US,Mobile,1382.2,623,34888,18
2025-01-10,Google,AcctA,Prospecting,MX,Mobile,428.33,156,9984,14
2025-01-10,Meta,AcctC,Retargeting,MX,Desktop,1077.29,577,39813,52
2025-01-10,Meta,AcctC,Prospecting,US,Mobile,218.09,123,7257,6
2025-01-11,Meta,AcctB,Brand_Search,US,Mobile,1301.49,667,24012,39
2025-01-11,Meta,AcctC,Prospecting,US,Mobile,558.65,438,25842,11
2025-01-11,Meta,AcctB,Prospecting,CA,Mobile,328.93,214,15194,15
2025-01-11,Google,AcctB,Retargeting,BR,Mobile,640.61,337,18872,26
2025-01-11,Google,AcctA,Retargeting,US,Mobile,1255.3,725,48575,69
2025-01-11,Google,AcctC,Prospecting,US,Desktop,544.98,198,11088,12
2025-01-11,Google,AcctC,Brand_Search,US,Mobile,516.64,187,12342,6
2025-01-11,Meta,AcctA,Brand_Search,MX,Desktop,285.39,124,8680,8
2025-01-11,Google,AcctC,Generic_Search,BR,Mobile,1206.68,837,56916,16
2025-01-11,Google,AcctA,Prospecting,BR,Desktop,1059.37,331,9930,16
2025-01-11,Google,AcctB,Retargeting,MX,Desktop,787.61,323,22287,7
2025-01-12,Google,AcctA,Retargeting,US,Desktop,1163.26,914,31990,72
2025-01-12,Google,AcctA,Generic_Search,BR,Desktop,1076.16,469,33768,25
2025-01-12,Meta,AcctC,Brand_Search,CA,Mobile,1335.69,1029,58653,92
2025-01-12,Google,AcctB,Retargeting,CA,Mobile,404.63,184,9200,15
2025-01-12,Google,AcctB,Prospecting,US,Mobile,946.33,665,43225,65
2025-01-12,Google,AcctA,Prospecting,MX,Mobile,355.98,195,11115,6
2025-01-12,Meta,AcctC,Prospecting,US,Desktop,713.84,428,12840,15
2025-01-12,Google,AcctB,Retargeting,CA,Mobile,576.37,289,14450,9
2025-01-12,Google,AcctB,Prospecting,MX,Desktop,951.29,386,27792,22
2025-01-12,Meta,AcctC,Generic_Search,MX,Desktop,716.19,480,27360,10
2025-01-12,Google,AcctC,Prospecting,US,Desktop,555.25,378,19278,18
2025-01-12,Meta,AcctB,Prospecting,BR,Desktop,648.72,230,16790,17
2025-01-13,Meta,AcctA,Prospecting,US,Mobile,569.39,376,27072,36
2025-01-13,Google,AcctB,Prospecting,MX,Desktop,632.99,243,15066,17
2025-01-13,Google,AcctC,Retargeting,CA,Desktop,784.65,553,39263,19
2025-01-13,Meta,AcctC,Generic_Search,US,Mobile,334.55,250,12750,24
2025-01-13,Meta,AcctC,Prospecting,US,Mobile,1297.83,547,36649,28
2025-01-13,Google,AcctB,Prospecting,BR,Desktop,333.65,142,5822,9
2025-01-13,Google,AcctB,Prospecting,MX,Mobile,731.4,343,23324,8
2025-01-13,Google,AcctC,Generic_Search,US,Desktop,1119.91,890,56070,55
2025-01-13,Meta,AcctC,Prospecting,BR,Mobile,288.77,150,7350,12
2025-01-13,Google,AcctB,Brand_Search,BR,Mobile,603.3,378,27216,19
2025-01-13,Google,AcctB,Brand_Search,MX,Mobile,787.49,258,12384,6
2025-01-13,Google,AcctA,Retargeting,CA,Mobile,1085.47,804,57084,56
2025-01-14,Google,AcctC,Retargeting,US,Mobile,673.59,444,25752,30
2025-01-14,Meta,AcctA,Prospecting,BR,Desktop,249.79,189,11340,14
2025-01-14,Google,AcctC,Prospecting,BR,Mobile,400.53,156,11544,12
2025-01-14,Meta,AcctB,Prospecting,CA,Mobile,1456.15,1031,70108,32
2025-01-14,Google,AcctC,Retargeting,CA,Desktop,1377.61,426,18318,36
2025-01-14,Google,AcctB,Retargeting,BR,Mobile,319.23,241,13978,21
2025-01-14,Meta,AcctA,Generic_Search,BR,Desktop,300.31,216,7776,13
2025-01-14,Meta,AcctA,Retargeting,MX,Desktop,1124.82,627,23199,26
2025-01-14,Google,AcctB,Retargeting,MX,Desktop,1071.15,765,58905,76
2025-01-14,Google,AcctC,Retargeting,MX,Desktop,671.38,261,11223,12
2025-01-14,Google,AcctB,Brand_Search,CA,Mobile,506.51,403,21359,15
2025-01-15,Meta,AcctA,Prospecting,BR,Mobile,358.4,150,10500,12
2025-01-15,Meta,AcctB,Prospecting,US,Mobile,302.61,181,7421,11
2025-01-15,Google,AcctC,Brand_Search,CA,Mobile,256.59,126,6678,5
2025-01-15,Meta,AcctA,Brand_Search,MX,Mobile,598.44,359,20463,11
2025-01-15,Google,AcctA,Brand_Search,MX,Mobile,870.0,691,44224,39
2025-01-15,Meta,AcctA,Brand_Search,MX,Mobile,1257.56,487,38473,36
2025-01-15,Meta,AcctC,Generic_Search,BR,Desktop,1130.86,872,27904,37
2025-01-15,Google,AcctB,Retargeting,CA,Mobile,1363.03,672,27552,40
2025-01-15,Google,AcctC,Generic_Search,MX,Mobile,1320.78,427,30317,19
2025-01-15,Google,AcctB,Brand_Search,MX,Desktop,1152.82,707,55853,47
2025-01-15,Meta,AcctA,Prospecting,BR,Mobile,443.51,281,17703,27
2025-01-15,Meta,AcctA,Brand_Search,CA,Desktop,1021.54,600,45000,18
2025-01-16,Google,AcctB,Generic_Search,US,Desktop,1229.69,514,31354,11
2025-01-16,Google,AcctC,Generic_Search,CA,Mobile,683.62,465,30690,14
2025-01-16,Google,AcctA,Retargeting,MX,Desktop,1438.63,534,36312,39
2025-01-16,Meta,AcctC,Prospecting,US,Mobile,1358.73,986,73950,75
2025-01-16,Meta,AcctB,Retargeting,US,Mobile,999.31,517,36190,50
2025-01-16,Google,AcctC,Generic_Search,BR,Mobile,853.72,626,23162,38
2025-01-16,Meta,AcctA,Brand_Search,BR,Desktop,787.66,590,34220,58
2025-01-16,Meta,AcctA,Generic_Search,US,Desktop,1212.07,585,31590,56
2025-01-16,Meta,AcctB,Brand_Search,BR,Mobile,1035.04,543,39639,33
2025-01-16,Meta,AcctB,Prospecting,MX,Desktop,1448.68,453,18573,27
2025-01-16,Meta,AcctC,Brand_Search,MX,Mobile,1115.25,454,31326,19
2025-01-17,Google,AcctA,Prospecting,US,Desktop,305.59,236,18644,15
2025-01-17,Meta,AcctA,Prospecting,BR,Mobile,998.76,346,24566,11
2025-01-17,Meta,AcctA,Prospecting,BR,Mobile,1319.93,606,31512,59
2025-01-17,Meta,AcctB,Brand_Search,US,Mobile,374.12,161,8533,13
2025-01-17,Google,AcctB,Brand_Search,MX,Desktop,806.41,349,15705,10
2025-01-17,Google,AcctB,Retargeting,CA,Desktop,1451.49,1090,54500,103
2025-01-17,Meta,AcctA,Retargeting,MX,Mobile,294.86,97,5626,5
2025-01-17,Meta,AcctA,Generic_Search,MX,Desktop,649.83,500,24000,43
2025-01-17,Google,AcctC,Retargeting,US,Mobile,1355.7,776,55096,74
2025-01-17,Meta,AcctA,Retargeting,US,Desktop,671.28,298,16092,17
2025-01-18,Meta,AcctA,Retargeting,CA,Mobile,1440.99,1012,48576,23
2025-01-18,Meta,AcctC,Retargeting,MX,Mobile,1260.47,610,44530,17
2025-01-18,Google,AcctB,Retargeting,US,Desktop,874.29,507,36504,29
2025-01-18,Meta,AcctC,Brand_Search,BR,Desktop,712.07,496,25296,32
2025-01-18,Meta,AcctB,Generic_Search,CA,Mobile,910.16,580,44080,43
2025-01-18,Meta,AcctC,Retargeting,BR,Desktop,562.71,252,12348,20
2025-01-18,Meta,AcctC,Prospecting,US,Mobile,545.19,342,27018,22
2025-01-18,Google,AcctC,Generic_Search,US,Desktop,448.02,233,13048,7
2025-01-18,Google,AcctC,Retargeting,MX,Mobile,653.44,501,40080,38
2025-01-18,Google,AcctC,Brand_Search,CA,Desktop,881.5,582,45978,50
2025-01-18,Meta,AcctA,Generic_Search,CA,Desktop,258.89,95,4845,8
2025-01-19,Google,AcctB,Prospecting,US,Mobile,677.81,278,10564,16
2025-01-19,Meta,AcctA,Retargeting,MX,Desktop,218.31,102,4896,6
2025-01-19,Meta,AcctC,Brand_Search,MX,Mobile,1100.6,364,13468,20
2025-01-19,Meta,AcctA,Brand_Search,BR,Desktop,266.0,200,8800,14
2025-01-19,Meta,AcctB,Generic_Search,MX,Desktop,212.05,123,4428,11
2025-01-19,Meta,AcctB,Generic_Search,US,Mobile,698.65,365,17155,35
2025-01-19,Google,AcctA,Retargeting,CA,Mobile,312.76,198,8118,19
2025-01-19,Google,AcctA,Retargeting,MX,Mobile,330.71,226,6780,21
2025-01-19,Meta,AcctB,Retargeting,CA,Desktop,1306.38,697,29274,59
2025-01-19,Google,AcctB,Retargeting,MX,Mobile,478.18,341,16027,32
2025-01-19,Google,AcctC,Generic_Search,US,Desktop,743.25,534,17088,53
2025-01-20,Google,AcctC,Retargeting,US,Desktop,467.91,163,5216,9
2025-01-20,Google,AcctC,Generic_Search,BR,Mobile,1310.83,682,49786,24
2025-01-20,Meta,AcctA,Generic_Search,CA,Mobile,1490.71,732,39528,36
2025-01-20,Meta,AcctC,Prospecting,CA,Mobile,1184.56,830,35690,67
2025-01-20,Google,AcctA,Brand_Search,MX,Mobile,1075.55,615,39360,30
2025-01-20,Google,AcctC,Prospecting,US,Desktop,1490.7,740,28120,57
2025-01-20,Google,AcctA,Brand_Search,CA,Mobile,504.64,206,16274,5
2025-01-20,Meta,AcctC,Prospecting,US,Mobile,530.79,160,6880,10
2025-01-20,Google,AcctC,Retargeting,MX,Desktop,1392.42,495,32175,45
2025-01-20,Google,AcctA,Retargeting,MX,Desktop,558.34,429,32604,34
2025-01-20,Meta,AcctA,Retargeting,US,Mobile,371.53,188,12408,4
2025-01-20,Google,AcctB,Prospecting,US,Desktop,1414.96,473,28380,10
2025-01-21,Meta,AcctA,Generic_Search,MX,Desktop,1247.51,944,61360,50
2025-01-21,Google,AcctC,Brand_Search,CA,Desktop,1104.31,719,39545,67
2025-01-21,Meta,AcctC,Generic_Search,CA,Desktop,531.49,247,8645,23
2025-01-21,Meta,AcctB,Retargeting,CA,Mobile,600.95,288,17568,16
2025-01-21,Google,AcctB,Retargeting,MX,Desktop,455.05,188,12408,16
2025-01-21,Meta,AcctA,Generic_Search,US,Mobile,690.32,415,13280,37
2025-01-21,Meta,AcctC,Prospecting,MX,Mobile,1456.46,904,55144,51
2025-01-21,Meta,AcctB,Generic_Search,MX,Mobile,738.11,429,18876,34
2025-01-21,Meta,AcctA,Prospecting,MX,Desktop,592.29,220,15840,13
2025-01-21,Google,AcctC,Generic_Search,CA,Desktop,1330.32,620,18600,22
2025-01-21,Meta,AcctC,Retargeting,MX,Mobile,730.74,328,13448,26
2025-01-22,Google,AcctA,Retargeting,MX,Desktop,1003.19,635,43815,59
2025-01-22,Google,AcctB,Brand_Search,US,Desktop,726.86,355,21300,8
2025-01-22,Google,AcctC,Generic_Search,US,Mobile,1298.93,808,41208,52
2025-01-22,Meta,AcctB,Generic_Search,US,Mobile,269.81,139,4726,6
2025-01-22,Google,AcctC,Brand_Search,BR,Desktop,1371.65,886,58476,51
2025-01-22,Meta,AcctA,Prospecting,BR,Desktop,936.7,678,49494,62
2025-01-22,Meta,AcctA,Generic_Search,CA,Desktop,1391.97,794,56374,76
2025-01-22,Meta,AcctA,Brand_Search,CA,Desktop,221.74,146,9344,14
2025-01-22,Google,AcctC,Retargeting,BR,Desktop,1393.46,783,35235,27
2025-01-22,Meta,AcctB,Prospecting,CA,Desktop,684.97,344,22704,13
2025-01-22,Google,AcctA,Prospecting,US,Desktop,1407.4,643,27649,43
2025-01-22,Google,AcctA,Brand_Search,US,Mobile,378.74,233,7922,17
2025-01-23,Google,AcctC,Retargeting,BR,Mobile,339.06,153,8415,7
2025-01-23,Meta,AcctC,Generic_Search,CA,Mobile,430.93,215,10750,9
2025-01-23,Google,AcctA,Prospecting,US,Mobile,1322.83,405,22680,20
2025-01-23,Google,AcctA,Retargeting,MX,Mobile,589.68,407,21571,16
2025-01-23,Meta,AcctC,Generic_Search,MX,Mobile,564.39,391,20723,11
2025-01-23,Google,AcctC,Generic_Search,US,Mobile,1425.87,577,27696,49
2025-01-23,Meta,AcctA,Prospecting,BR,Desktop,306.65,115,8625,9
2025-01-23,Meta,AcctB,Retargeting,MX,Mobile,1260.12,919,62492,28
2025-01-23,Google,AcctC,Retargeting,MX,Mobile,338.52,102,4998,5
2025-01-23,Meta,AcctA,Generic_Search,US,Desktop,760.27,439,27218,23
2025-01-23,Google,AcctC,Generic_Search,BR,Mobile,420.35,182,8554,10
2025-01-23,Meta,AcctB,Brand_Search,MX,Mobile,837.78,400,21600,21
2025-01-24,Google,AcctB,Retargeting,BR,Mobile,514.63,323,24225,17
2025-01-24,Meta,AcctC,Generic_Search,BR,Mobile,714.26,477,20034,26
2025-01-24,Google,AcctC,Generic_Search,BR,Desktop,630.29,323,19057,12
2025-01-24,Meta,AcctA,Retargeting,CA,Mobile,894.68,681,50394,36
2025-01-24,Google,AcctB,Prospecting,CA,Mobile,1204.04,715,44330,22
2025-01-24,Google,AcctB,Brand_Search,US,Desktop,1054.88,503,35713,34
2025-01-24,Google,AcctC,Generic_Search,MX,Mobile,456.2,162,11664,14
2025-01-24,Meta,AcctB,Retargeting,BR,Mobile,652.79,227,17252,17
2025-01-24,Meta,AcctB,Retargeting,US,Desktop,328.19,134,10318,8
2025-01-24,Google,AcctB,Brand_Search,MX,Mobile,1396.71,478,36328,14
2025-01-24,Meta,AcctB,Brand_Search,BR,Desktop,561.85,366,29280,9
2025-01-24,Meta,AcctA,Prospecting,US,Desktop,229.36,108,3888,8
2025-01-25,Meta,AcctC,Retargeting,CA,Desktop,652.3,471,32499,15
2025-01-25,Meta,AcctC,Retargeting,CA,Mobile,835.31,285,8835,23
2025-01-25,Meta,AcctC,Brand_Search,BR,Mobile,353.22,159,6519,7
2025-01-25,Google,AcctB,Prospecting,MX,Desktop,770.79,614,48506,52
2025-01-25,Google,AcctC,Prospecting,CA,Desktop,1001.0,693,29799,58
2025-01-25,Meta,AcctC,Prospecting,BR,Mobile,1472.7,657,43362,27
2025-01-25,Meta,AcctA,Retargeting,BR,Desktop,1259.78,985,61070,71
2025-01-25,Meta,AcctC,Brand_Search,US,Mobile,1207.65,859,45527,54
2025-01-25,Google,AcctC,Retargeting,BR,Mobile,333.14,238,18564,9
2025-01-25,Google,AcctC,Retargeting,CA,Desktop,947.25,484,29524,34
2025-01-25,Google,AcctB,Brand_Search,MX,Desktop,898.89,345,20355,22
2025-01-25,Google,AcctC,Generic_Search,CA,Mobile,382.39,174,10092,12
2025-01-26,Google,AcctB,Retargeting,US,Mobile,463.01,298,11324,26
2025-01-26,Meta,AcctB,Generic_Search,CA,Desktop,1034.05,660,22440,41
2025-01-26,Meta,AcctC,Generic_Search,CA,Desktop,497.63,171,6156,4
2025-01-26,Google,AcctA,Generic_Search,CA,Desktop,210.48,99,3663,9
2025-01-26,Meta,AcctA,Retargeting,BR,Mobile,549.1,392,19992,25
2025-01-26,Meta,AcctA,Prospecting,US,Mobile,525.51,255,18105,8
2025-01-26,Meta,AcctC,Prospecting,BR,Mobile,1052.13,685,20550,25
2025-01-26,Meta,AcctA,Retargeting,CA,Desktop,950.65,412,23072,20
2025-01-26,Google,AcctC,Brand_Search,CA,Mobile,1103.11,814,48026,78
2025-01-26,Meta,AcctC,Brand_Search,US,Mobile,1025.29,665,22610,55
2025-01-26,Google,AcctC,Retargeting,MX,Desktop,259.73,159,9381,3
2025-01-26,Google,AcctA,Retargeting,US,Mobile,1327.16,482,18316,19
2025-01-27,Meta,AcctC,Prospecting,CA,Mobile,1112.35,379,24256,23
2025-01-27,Meta,AcctA,Retargeting,US,Mobile,1065.9,670,27470,19
2025-01-27,Meta,AcctC,Brand_Search,MX,Desktop,873.07,484,37268,24
2025-01-27,Google,AcctC,Brand_Search,BR,Mobile,1438.92,807,64560,69
2025-01-27,Meta,AcctC,Brand_Search,MX,Mobile,1148.95,830,27390,32
2025-01-27,Meta,AcctB,Generic_Search,BR,Mobile,1038.01,440,29920,29
2025-01-27,Google,AcctB,Brand_Search,US,Desktop,217.93,88,2904,8
2025-01-27,Google,AcctA,Retargeting,CA,Desktop,513.41,317,10778,19
2025-01-27,Google,AcctB,Brand_Search,MX,Desktop,864.7,347,13533,21
2025-01-27,Meta,AcctA,Brand_Search,US,Desktop,1178.18,700,37800,33
2025-01-27,Google,AcctC,Generic_Search,CA,Mobile,1139.16,699,27261,65
2025-01-28,Meta,AcctB,Brand_Search,US,Desktop,1028.38,511,34237,33
2025-01-28,Meta,AcctA,Prospecting,BR,Mobile,1152.82,413,12803,19
2025-01-28,Google,AcctB,Generic_Search,MX,Desktop,1362.55,868,32116,33
2025-01-28,Meta,AcctB,Brand_Search,MX,Desktop,844.99,469,15477,28
2025-01-28,Google,AcctA,Prospecting,US,Desktop,1397.66,1046,65898,55
2025-01-28,Google,AcctA,Brand_Search,CA,Desktop,502.9,237,17538,21
2025-01-28,Google,AcctA,Brand_Search,BR,Desktop,813.29,399,15561,13
2025-01-28,Meta,AcctC,Generic_Search,CA,Mobile,969.2,529,41791,43
2025-01-28,Google,AcctC,Prospecting,US,Desktop,433.15,304,9728,29
2025-01-28,Meta,AcctA,Retargeting,MX,Desktop,466.75,369,20664,21
2025-01-28,Google,AcctC,Retargeting,BR,Mobile,522.74,396,19800,16
2025-01-29,Google,AcctA,Prospecting,BR,Desktop,1124.5,881,48455,53
2025-01-29,Meta,AcctB,Generic_Search,CA,Desktop,1035.45,723,32535,50
2025-01-29,Google,AcctB,Prospecting,CA,Mobile,1308.23,451,32923,19
2025-01-29,Meta,AcctB,Brand_Search,CA,Mobile,424.65,172,7052,7
2025-01-29,Google,AcctA,Brand_Search,BR,Mobile,805.87,405,25920,19
2025-01-29,Meta,AcctB,Brand_Search,MX,Desktop,228.34,75,5325,4
2025-01-29,Meta,AcctA,Brand_Search,BR,Mobile,848.56,629,37740,15
2025-01-29,Meta,AcctC,Generic_Search,BR,Mobile,539.29,246,13530,18
2025-01-29,Meta,AcctA,Generic_Search,US,Desktop,280.17,193,8492,5
2025-01-29,Google,AcctA,Prospecting,US,Desktop,1424.96,463,30558,25
2025-01-29,Meta,AcctB,Generic_Search,US,Mobile,1310.98,757,49205,30
2025-01-30,Google,AcctB,Brand_Search,US,Desktop,502.41,205,12915,11
2025-01-30,Google,AcctA,Prospecting,BR,Desktop,1364.49,940,31020,79
2025-01-30,Google,AcctA,Retargeting,MX,Desktop,428.93,255,19635,19
2025-01-30,Meta,AcctC,Prospecting,BR,Mobile,490.21,291,11931,14
2025-01-30,Google,AcctC,Generic_Search,US,Mobile,1448.73,705,50760,36
2025-01-30,Meta,AcctA,Generic_Search,US,Mobile,1305.98,895,59070,20
2025-01-30,Meta,AcctC,Generic_Search,US,Mobile,382.84,257,11565,12
2025-01-30,Meta,AcctC,Generic_Search,BR,Mobile,1132.02,859,42950,21
